profile_id,stop_depth_m,duration_air_min,duration_o2_min,can_enter_chamber
3,3,10,5,0
4,3,14,7,0
5,6,3,2,0
5,3,15,8,0
6,6,10,5,0
6,3,16,8,0
7,6,10,5,0
7,3,29,15,0
9,3,5,3,0
10,3,14,7,0
11,6,3,2,0
11,3,18,8,0
12,6,8,4,0
12,3,20,10,0
13,6,8,4,0
13,3,26,13,0
14,9,5,3,1
14,6,18,9,1
14,3,23,12,1
15,9,5,3,0
15,6,18,9,0
15,3,67,34,0
17,3,5,3,0
18,3,17,9,0
19,6,8,4,0
19,3,17,9,0
20,9,7,4,1
20,6,11,6,1
20,3,21,11,1
21,9,8,4,1
21,6,14,7,1
21,3,29,15,1
22,12,3,2,1
22,9,12,6,1
22,6,19,10,1
22,3,31,16,1
23,12,10,5,1
23,9,18,9,1
23,6,24,12,1
23,3,36,18,1
24,12,10,5,0
24,9,18,9,0
24,6,37,19,0
24,3,85,43,0
26,3,6,3,0
27,6,6,3,0
27,3,20,10,0
28,6,10,5,0
28,3,24,12,0
29,9,7,4,1
29,6,10,5,1
29,3,25,13,1
30,9,10,5,1
30,6,18,9,1
30,3,27,14,1
31,12,9,5,1
31,9,12,6,1
31,6,23,14,1
31,3,34,17,1
32,15,4,2,0
32,12,13,7,1
32,9,18,91,1
32,6,28,14,1
32,3,39,20,1
33,15,4,2,0
33,12,19,10,1
33,9,29,15,1
33,6,32,16,1
33,3,50,25,1
34,15,4,0,0
34,12,19,10,0
34,9,20,10,0
34,6,63,32,0
34,3,122,61,0
36,3,2,1,0
37,3,12,6,0
38,6,12,6,0
38,3,22,11,0
39,9,7,4,1
39,6,12,6,1
39,3,23,12,1
40,9,9,5,1
40,6,20,10,1
40,3,24,12,1
41,15,2,1,0
41,12,11,6,1
41,9,15,8,1
41,6,22,11,1
41,3,29,15,1
42,15,9,5,0
42,12,12,6,1
42,9,21,11,1
42,6,28,14,1
42,3,43,22,1
43,15,12,6,0
43,12,16,8,1
43,9,25,13,1
43,6,33,17,1
43,3,51,26,1
44,15,12,0,0
44,12,16,8,0
44,9,46,23,0
44,6,85,43,0
44,3,140,70,0
46,3,1,1,0
47,3,4,2,0
48,6,5,3,0
48,3,15,8,0
49,9,2,1,1
49,6,13,7,1
49,3,23,12,1
50,12,1,1,1
50,9,10,5,1
50,6,15,8,1
50,3,25,12,1
51,15,2,1,0
51,12,10,5,1
51,9,14,7,1
51,6,22,11,1
51,3,28,14,1
52,15,5,3,0
52,12,14,7,1
52,9,18,9,1
52,6,28,14,1
52,3,39,20,1
53,18,10,0,0
53,15,13,7,0
53,12,15,8,1
53,9,25,13,1
53,6,36,18,1
53,3,52,26,1
54,18,14,0,0
54,15,19,10,0
54,12,21,11,1
54,9,30,15,1
54,6,40,20,1
54,3,61,31,1
55,18,14,0,0
55,15,19,0,0
55,12,21,11,0
55,9,61,31,0
55,6,98,49,0
55,3,180,90,0
57,3,3,2,0
58,3,10,5,0
59,9,6,3,1
59,6,10,5,0
59,3,16,8,0
60,9,8,4,1
60,6,14,7,0
60,3,24,12,0
61,12,12,6,1
61,9,14,7,0
61,6,17,9,0
61,3,26,13,0
62,15,6,3,0
62,12,12,6,1
62,9,16,8,0
62,6,25,13,0
62,3,32,16,0
63,18,8,0,0
63,15,12,6,0
63,12,19,10,1
63,9,20,10,1
63,6,33,17,1
63,3,41,21,1
64,21,9,0,0
64,18,13,0,0
64,15,15,8,0
64,12,20,10,1
64,9,30,15,0
64,6,42,21,0
64,3,65,33,0
65,21,16,0,0
65,18,19,0,0
65,15,22,11,0
65,12,24,12,1
65,9,39,20,0
65,6,60,30,0
65,3,73,37,0
66,21,16,0,0
66,18,19,0,0
66,15,25,0,0
66,12,50,25,0
66,9,86,43,0
66,6,126,63,0
66,3,209,105,0
68,3,3,2,0
69,3,4,2,0
70,9,2,1,1
70,6,6,3,0
70,3,12,6,0
71,9,10,5,1
71,6,12,6,0
71,3,17,9,0
72,12,5,3,1
72,9,12,6,0
72,6,18,9,0
72,3,24,12,0
73,15,4,2,0
73,12,14,7,1
73,9,16,8,0
73,6,18,9,0
73,3,30,15,0
74,18,4,0,0
74,15,10,5,0
74,12,18,9,1
74,9,21,11,0
74,6,27,14,0
74,3,35,18,0
75,21,7,0,0
75,18,11,0,0
75,15,14,7,0
75,12,19,10,1
75,9,24,12,0
75,6,37,19,0
75,3,47,24,0
76,24,11,0,0
76,21,13,0,0
76,18,15,0,0
76,15,17,9,0
76,12,24,12,1
76,9,37,19,0
76,6,48,24,0
76,3,72,36,0
77,24,11,0,0
77,21,13,0,0
77,18,18,0,0
77,15,49,0,0
77,12,62,31,0
77,9,96,48,0
77,6,151,76,0
77,3,252,126,0
79,3,6,3,0
80,3,9,5,0
81,9,6,3,1
81,6,10,5,0
81,3,14,7,0
82,12,3,2,1
82,9,12,6,0
82,6,16,8,0
82,3,18,9,0
83,12,6,3,1
83,9,16,8,0
83,6,20,10,0
83,3,27,14,0
84,18,4,0,0
84,15,10,5,0
84,12,18,9,1
84,9,22,11,0
84,6,24,12,0
84,3,30,15,0
85,21,5,0,0
85,18,10,0,0
85,15,14,7,0
85,12,20,10,1
85,9,23,12,0
85,6,28,14,0
85,3,38,19,0
86,24,6,0,0
86,21,10,0,0
86,18,14,0,0
86,15,18,9,0
86,12,21,11,1
86,9,31,16,0
86,6,47,24,0
86,3,57,29,0
87,27,8,0,0
87,24,13,0,0
87,21,16,0,0
87,18,18,0,0
87,15,20,10,0
87,12,30,15,1
87,9,44,22,0
87,6,59,30,0
87,3,85,43,0
88,27,8,0,0
88,24,13,0,0
88,21,16,0,0
88,18,34,0,0
88,15,56,0,0
88,12,81,41,0
88,9,114,57,0
88,6,189,95,0
88,3,300,0,0
90,3,9,5,0
91,6,4,2,0
91,3,15,8,0
92,9,9,5,1
92,6,14,7,0
92,3,16,8,0
93,12,9,5,1
93,9,14,7,0
93,6,17,9,0
93,3,22,11,0
94,15,4,2,0
94,12,10,5,1
94,9,19,10,0
94,6,22,11,0
94,3,27,14,0
95,21,2,0,0
95,18,9,0,0
95,15,16,8,0
95,12,20,10,1
95,9,23,12,0
95,6,26,13,0
95,3,32,16,0
96,21,12,0,0
96,18,14,0,0
96,15,17,9,0
96,12,22,11,1
96,9,25,13,0
96,6,32,16,0
96,3,42,21,0
97,21,15,0,0
97,18,18,0,0
97,15,20,10,0
97,12,23,12,1
97,9,34,17,0
97,6,53,27,0
97,3,76,38,0
98,27,12,0,0
98,24,14,0,0
