profile_id,stop_depth_m,duration_air_min,duration_o2_min,can_enter_chamber
2,6,6,3,0
3,3,1,1,0
4,6,43,22,1
5,3,8,4,1
6,6,73,37,1
7,3,14,7,1
8,6,99,50,1
9,3,20,10,1
10,6,121,61,1
11,3,24,12,1
12,6,140,70,1
13,3,29,15,1
15,6,3,2,0
16,3,1,1,0
17,6,19,10,1
18,3,7,4,1
19,6,39,20,1
20,3,13,7,1
21,6,64,32,1
22,3,21,11,1
23,6,92,46,1
24,3,29,15,1
25,6,138,69,1
26,3,36,18,1
27,6,196,98,1
28,3,46,23,1
29,6,242,121,1
30,3,56,28,1
31,6,279,140,1
32,3,68,34,1
33,6,311,156,1
34,3,78,39,1
35,6,337,169,1
36,3,87,44,1
37,6,359,180,1
38,3,95,48,1
39,6,378,189,1
40,3,102,51,1
41,6,395,198,1
42,3,109,55,1
43,6,410,205,1
44,3,115,58,1
45,6,423,212,1
46,3,120,60,1
47,6,434,217,1
48,3,125,63,1
49,6,445,223,1
50,3,129,65,1
51,6,454,227,1
52,3,133,67,1
54,6,1,1,0
55,3,1,1,0
56,6,7,4,0
57,3,3,2,0
58,6,12,6,0
59,3,6,3,0
60,6,16,8,1
61,3,8,4,1
62,6,38,19,1
63,3,15,8,1
64,6,62,31,1
65,3,26,13,1
66,6,97,49,1
67,3,35,18,1
68,6,132,66,1
69,3,48,24,1
70,6,192,96,1
71,3,59,30,1
72,6,272,136,1
73,3,72,36,1
74,6,331,166,1
75,3,85,43,1
76,6,378,189,1
77,3,102,51,1
78,6,416,208,1
79,3,117,59,1
80,6,448,224,1
81,3,131,66,1
82,6,475,238,1
83,3,143,72,1
84,6,497,249,1
85,3,153,77,1
86,6,517,259,1
87,3,162,81,1
88,6,534,267,1
89,3,171,86,1
90,6,549,275,1
91,3,178,89,1
92,6,562,281,1
93,3,185,93,1
94,6,574,287,1
95,3,191,96,1
96,6,584,292,1
97,3,196,98,1
98,6,593,297,1
99,3,201,101,1
100,3,206,103,1
101,3,210,105,1
102,3,214,107,1
104,9,9,5,0
105,6,5,3,0
106,9,18,9,1
107,6,9,5,1
108,9,26,13,1
109,6,13,7,1
110,9,33,17,1
111,6,17,9,1
112,9,39,20,1
113,6,21,11,1
114,9,48,24,1
115,6,24,12,1
116,9,62,31,1
117,6,27,14,1
118,9,74,37,1
119,6,32,16,1
120,9,84,42,1
121,6,37,19,1
122,9,129,65,1
123,6,50,25,1
124,9,180,90,1
125,6,66,33,1
126,9,271,136,1
127,6,82,41,1
128,9,356,178,1
129,6,99,50,1
130,9,419,210,1
