profile_id,stop_depth_fsw,duration_air_min,duration_o2_min,can_enter_chamber
1,20,0,0,1
2,20,5,1,1
3,20,22,5,1
4,20,42,9,1
5,20,71,14,1
6,20,92,19,1
7,20,120,22,1
8,20,158,27,1
9,20,0,0,1
10,20,4,2,1
11,20,28,7,1
12,20,53,13,1
13,20,71,18,1
14,20,88,22,1
15,20,134,29,1
16,20,173,38,1
17,20,228,45,1
18,20,277,53,1
19,20,314,63,1
20,20,342,71,1
21,20,0,0,1
22,20,6,2,1
23,20,14,5,1
24,20,21,7,1
25,20,27,9,1
26,20,39,11,1
27,20,52,12,1
28,20,64,16,1
29,20,75,19,1
30,20,101,26,1
31,20,128,33,1
32,20,160,38,1
33,20,184,44,1
34,20,248,56,1
35,20,321,68,1
36,20,372,80,1
37,20,410,93,1
38,20,439,103,1
39,20,461,112,1
40,20,0,0,1
41,20,2,1,1
42,20,14,5,1
43,20,25,8,1
44,20,34,11,1
45,20,41,14,1
46,20,59,17,1
47,20,75,19,1
48,20,89,23,1
49,20,101,27,1
50,20,112,30,1
51,20,121,33,1
52,20,130,37,1
53,20,173,45,1
54,20,206,51,1
55,20,243,61,1
56,20,288,69,1
57,20,373,84,1
58,20,431,101,1
59,20,473,117,1
60,20,0,0,1
61,20,2,1,1
62,20,4,2,1
63,20,8,4,1
64,20,21,7,1
65,20,34,12,1
66,20,45,16,1
67,20,56,19,1
68,20,78,23,1
69,20,96,26,1
70,20,111,30,1
71,20,125,35,1
72,20,136,39,1
73,20,147,43,1
74,20,166,47,1
75,20,183,50,1
76,20,198,53,1
77,20,236,62,1
78,20,285,74,1
79,20,345,83,1
80,20,393,92,1
81,20,464,113,1
82,20,0,0,1
83,20,1,1,1
84,20,4,2,1
85,20,10,5,1
86,20,17,8,1
87,20,34,12,1
88,20,48,17,1
89,20,59,22,1
90,20,84,26,1
91,20,105,30,1
92,20,123,34,1
93,20,138,40,1
94,20,151,45,1
95,20,169,50,1
96,20,190,54,1
97,20,208,58,1
98,20,224,62,1
99,20,239,66,1
100,20,254,69,1
101,20,313,83,1
102,20,380,94,1
103,20,432,106,1
104,20,474,118,1
105,20,0,0,1
106,20,2,1,1
107,20,7,4,1
108,20,14,7,1
109,20,23,10,1
110,20,42,15,1
111,20,57,21,1
112,20,75,26,1
113,20,102,31,1
114,20,124,35,1
115,20,143,41,1
116,20,158,48,1
117,20,178,53,1
118,20,201,59,1
119,20,222,64,1
120,20,240,68,1
121,20,256,73,1
122,20,278,77,1
123,20,300,82,1
124,20,321,88,1
125,20,398,102,1
126,20,456,115,1
127,20,0,0,1
128,20,2,1,1
129,20,9,5,1
130,20,14,8,1
131,20,24,13,1
132,20,44,17,1
133,20,64,24,1
134,20,88,31,1
135,20,120,38,1
136,20,145,44,1
137,20,167,51,1
138,20,189,59,1
139,20,219,66,1
140,30,1,1,0
140,20,244,72,1
141,30,2,1,0
141,20,265,78,1
142,30,4,2,0
142,20,289,83,1
143,30,5,3,0
143,20,316,88,1
144,30,9,5,0
144,20,345,93,1
145,30,13,7,0
145,20,378,98,1
146,30,25,13,0
146,20,454,110,1
147,20,0,0,1
148,20,1,1,1
149,20,10,5,1
150,20,17,9,1
151,20,24,13,1
152,20,30,16,1
153,20,54,22,1
154,20,77,30,1
155,20,114,39,1
156,30,1,1,0
156,20,147,46,1
157,30,6,3,0
157,20,171,51,1
158,30,10,5,0
158,20,200,59,1
159,30,14,7,0
159,20,232,67,1
160,30,17,9,0
160,20,258,73,1
161,30,19,10,0
161,20,285,80,1
162,30,21,11,0
162,20,318,86,1
163,30,27,14,0
163,20,354,90,1
164,30,33,17,0
164,20,391,96,1
165,30,51,26,0
165,20,473,110,1
166,20,0,0,1
167,20,4,2,1
168,20,14,7,1
169,20,23,12,1
170,20,31,17,1
171,20,39,21,1
172,20,56,24,1
173,20,83,32,1
174,30,5,3,0
174,20,125,40,1
175,30,13,7,0
175,20,158,46,1
176,30,19,10,0
176,20,185,53,1
177,30,25,13,0
177,20,224,61,1
178,40,2,2,0
178,30,28,14,0
178,20,256,70,1
179,40,5,5,0
179,30,28,14,0
179,20,291,79,1
180,40,8,8,0
180,30,28,14,0
180,20,330,87,1
181,40,11,11,0
181,30,34,17,0
181,20,378,94,1
182,40,13,13,0
182,30,40,20,0
182,20,418,101,1
183,40,15,15,0
183,30,45,23,0
183,20,451,106,1
184,40,16,16,0
184,30,51,26,0
184,20,479,112,1
185,40,42,42,0
185,30,68,34,0
185,20,592,159,1
186,20,0,0,1
187,20,3,2,1
188,20,15,8,1
189,20,26,14,1
190,20,36,19,1
191,20,47,24,1
192,20,65,28,1
193,20,81,33,1
194,30,11,6,0
194,20,124,39,1
195,30,21,11,0
195,20,160,45,1
196,40,2,2,0
196,30,28,14,0
196,20,196,53,1
197,40,9,9,0
197,30,28,14,0
197,20,241,66,1
198,40,14,14,0
198,30,28,14,0
198,20,278,76,1
199,40,19,19,0
199,30,28,14,0
199,20,324,85,1
200,50,3,3,0
200,40,26,26,0
200,30,46,23,0
200,20,461,109,1
201,20,0,0,1
202,20,5,3,1
203,20,14,7,1
204,20,27,14,1
205,20,39,20,1
206,20,50,26,1
207,20,71,32,1
208,30,5,3,0
208,20,85,33,1
209,30,13,7,0
209,20,111,36,1
210,30,26,14,0
210,20,155,42,1
211,40,9,9,0
211,30,28,14,0
211,20,200,54,1
212,40,18,18,0
212,30,28,14,0
212,20,249,68,1
213,40,25,25,0
213,30,28,14,0
213,20,295,79,1
214,50,5,5,0
214,40,26,26,0
214,30,28,14,0
214,20,353,91,1
215,50,10,10,0
215,40,26,26,0
215,30,35,18,0
215,20,413,101,1
216,60,3,3,0
216,50,23,23,0
216,40,47,47,0
216,30,68,34,0
216,20,593,159,1
217,20,0,0,1
218,20,4,2,1
219,20,9,5,1
220,20,24,13,1
221,20,38,20,1
222,30,2,1,0
222,20,49,26,1
223,30,3,2,0
223,20,71,31,1
224,30,10,5,0
224,20,85,33,1
225,30,19,10,0
225,20,116,35,1
226,30,27,14,0
226,20,142,39,1
227,40,13,13,0
227,30,28,14,0
227,20,190,51,1
228,40,24,24,0
228,30,28,14,0
228,20,246,67,1
229,50,7,7,0
229,40,26,26,0
229,30,28,14,0
229,20,303,80,1
230,50,15,15,0
230,40,25,25,0
230,30,28,14,0
230,20,372,95,1
231,50,21,21,0
231,40,25,25,0
231,30,38,19,0
231,20,433,105,1
232,60,3,3,0
232,50,23,23,0
232,40,25,25,0
232,30,47,24,0
232,20,480,113,1
233,20,0,0,1
234,20,3,2,1
235,20,8,5,1
236,20,17,9,1
237,30,2,1,0
237,20,32,17,1
238,30,5,3,0
238,20,44,23,1
239,30,6,3,0
239,20,66,30,1
240,40,1,1,0
240,30,11,6,0
240,20,84,33,1
241,40,2,2,0
241,30,20,10,0
241,20,118,36,1
242,40,4,4,0
242,30,28,14,0
242,20,146,40,1
243,40,12,12,0
243,30,28,14,0
243,20,170,46,1
244,50,1,1,0
244,40,26,26,0
244,30,28,14,0
244,20,235,63,1
245,50,12,12,0
245,40,26,26,0
245,30,28,14,0
245,20,297,79,1
246,50,22,22,0
246,40,25,25,0
246,30,28,14,0
246,20,375,95,1
247,60,6,6,0
247,50,23,23,0
247,40,26,26,0
247,30,38,20,0
247,20,444,106,1
248,60,17,17,0
248,50,24,24,0
248,40,27,27,0
248,30,57,29,0
248,20,534,130,1
249,70,13,13,0
249,60,21,21,0
249,50,45,45,0
249,40,57,57,0
249,30,94,46,0
249,20,658,198,1
250,20,0,0,1
251,20,5,3,1
252,20,13,7,1
253,30,3,2,0
253,20,24,12,1
254,30,7,4,0
