profile_id,dive_depth_m,bottom_time_min,ascent_to_1st_stop_min,total_deco_air_min,total_deco_o2_min
1,12,360,2,2,0
2,15,105,2,2,0
3,15,145,2,12,7
4,15,180,2,16,9
5,15,240,2,20,12
6,15,300,2,28,15
7,15,360,2,41,22
8,18,45,3,3,0
9,18,60,2,7,5
10,18,80,2,16,9
11,18,105,2,23,12
12,18,145,2,30,16
13,18,180,2,36,19
14,18,240,2,48,26
15,18,360,2,92,48
16,21,35,3,3,0
17,21,45,3,8,6
18,21,60,3,20,12
19,21,80,2,27,15
20,21,105,2,41,23
21,21,145,2,53,28
22,21,180,2,67,36
23,21,240,2,90,46
24,21,360,2,152,78
25,24,25,3,3,0
26,24,35,3,9,6
27,24,45,3,29,16
28,24,60,3,37,20
29,24,80,2,44,24
30,24,105,2,57,30
31,24,145,2,80,44
32,24,180,2,104,54
33,24,240,2,136,70
34,24,360,2,230,119
35,27,20,4,4,0
36,27,25,3,5,4
37,27,35,3,15,9
38,27,45,3,37,20
39,27,60,3,45,25
40,27,80,3,56,30
41,27,105,2,81,43
42,27,145,2,115,60
43,27,180,2,139,72
44,27,360,2,301,158
45,30,15,4,4,0
46,30,20,4,5,5
47,30,25,4,8,6
48,30,35,3,23,14
49,30,45,3,41,23
50,30,60,3,54,29
51,30,80,2,78,40
52,30,105,2,106,55
53,30,145,2,153,84
54,30,180,2,187,103
55,30,360,3,396,217
56,33,15,5,5,0
57,33,20,4,7,6
58,33,25,4,14,9
59,33,35,3,35,19
60,33,45,3,49,26
61,33,60,3,72,38
62,33,80,3,94,49
63,33,105,2,135,74
64,33,145,2,196,111
65,33,180,2,255,147
66,33,360,3,534,299
67,36,10,5,5,0
68,36,15,5,8,7
69,36,20,5,9,7
70,36,25,4,24,14
71,36,35,4,43,24
72,36,45,3,62,33
73,36,60,3,85,44
74,36,80,3,118,64
75,36,105,3,162,93
76,36,145,2,239,141
77,36,360,3,615,355
78,39,10,6,6,0
79,39,15,5,11,8
80,39,20,5,14,10
81,39,25,4,34,19
82,39,35,4,53,29
83,39,45,4,73,39
84,39,60,3,111,59
85,39,80,2,140,79
86,39,105,2,206,121
87,39,145,2,295,177
88,39,360,3,814,623
89,42,10,6,11,6
90,42,15,6,15,11
91,42,20,5,24,15
92,42,25,5,44,25
93,42,35,4,66,36
94,42,45,4,86,46
95,42,60,3,131,73
96,42,80,3,167,99
97,42,105,3,202,140
98,42,145,2,299,214
99,42,360,3,896,735
100,45,10,6,12,6
101,45,15,6,18,12
102,45,20,6,28,17
103,45,25,5,50,29
104,45,35,5,75,41
105,45,45,4,107,57
106,45,60,3,155,92
107,45,80,3,200,125
108,45,105,3,231,179
109,45,145,2,423,255
110,45,360,3,915,858
111,48,5,7,7,7
112,48,10,6,14,8
113,48,15,6,21,14
114,48,20,5,34,21
115,48,25,5,57,31
116,48,35,4,95,50
117,48,45,4,136,80
118,48,60,3,164,114
119,48,80,3,199,162
120,48,105,3,288,216
121,48,145,3,497,300
122,48,360,3,1226,960
123,51,5,7,7,7
124,51,10,7,12,10
125,51,15,6,29,18
126,51,20,6,49,28
127,51,25,6,68,38
128,51,35,5,119,51
129,51,45,4,154,84
130,51,60,3,224,142
131,51,80,3,322,185
132,51,105,3,411,255
133,51,360,3,1339,1195
134,54,5,8,8,8
135,54,10,7,14,11
136,54,15,7,34,21
137,54,20,6,55,31
138,54,25,6,102,42
139,54,35,5,138,75
140,54,45,4,181,96
141,54,60,4,234,135
142,54,80,3,301,201
143,54,105,3,475,295
144,54,360,3,1471,1289
145,57,5,8,8,8
146,57,10,7,18,13
147,57,15,7,40,24
148,57,20,6,63,35
149,57,25,5,105,45
150,57,35,5,154,94
151,57,45,4,207,100
152,57,60,4,267,142
153,57,80,3,455,250
154,57,360,3,1606,1322
155,60,5,9,9,9
156,60,10,8,22,16
157,60,15,7,45,27
158,60,20,6,68,38
159,60,25,6,96,53
160,60,35,5,127,110
161,60,45,5,269,169
162,60,60,4,363,203
163,60,80,4,500,320
164,60,360,3,1705,1440
165,63,5,9,9,9
166,63,10,8,25,17
167,63,15,8,51,30
168,63,20,7,74,42
169,63,25,6,113,53
170,63,35,6,221,133
171,63,45,5,315,185
172,63,60,4,457,277
173,63,80,3,559,362
174,63,360,4,1826,1530
175,66,5,9,9,9
176,66,10,9,29,20
177,66,15,8,60,35
178,66,20,7,108,48
179,66,25,6,137,69
180,66,35,6,271,151
181,66,45,5,350,211
182,66,60,4,508,321
183,66,360,4,1917,1672
184,69,5,10,10,10
185,69,10,9,32,21
186,69,15,8,66,37
187,69,20,7,98,57
188,69,25,7,149,85
189,69,35,6,275,168
190,69,45,5,397,246
191,69,60,4,545,365
192,69,360,4,2089,1769
193,72,5,10,10,10
194,72,10,9,35,23
195,72,15,8,43,16
196,72,20,7,107,63
197,72,25,7,173,106
198,72,35,6,286,185
199,72,45,5,448,273
200,72,360,4,2111,1838
201,75,5,10,11,11
202,75,10,9,24,11
203,75,15,8,49,27
204,75,20,8,119,59
205,75,25,7,181,111
206,75,35,7,353,231
207,75,45,5,531,312
208,75,360,4,2270,1917
209,78,5,11,16,14
210,78,10,10,46,28
211,78,15,8,55,38
212,78,20,8,139,81
213,78,25,7,216,121
214,78,35,6,417,278
215,78,45,6,598,354
216,78,360,4,2358,2059
217,80,5,10,18,14
218,80,10,10,52,31
219,80,15,9,107,62
220,80,20,8,150,84
221,80,25,7,244,156
222,80,35,6,460,247
223,80,45,5,574,356
224,80,360,4,2496,2163
