profile_id,dive_depth_m,bottom_time_min,ascent_to_1st_stop_min,total_deco_air_min,total_deco_o2_min
1,7.5,745,0:50,0:50,0
2,7.5,750,0:10,6:10,3:10
3,7.5,750,0:30,1:30,1:30
4,7.5,780,0:10,43:10,22:10
5,7.5,780,0:30,8:30,4:30
6,7.5,810,0:10,73:10,37:10
7,7.5,810,0:30,14:30,7:30
8,7.5,840,0:10,99:10,50:10
9,7.5,840,0:30,20:30,10:30
10,7.5,870,0:10,121:10,61:10
11,7.5,870,0:30,24:30,12:30
12,7.5,900,0:10,140:10,70:10
13,7.5,900,0:30,29:30,15:30
14,9,356,1,1,0
15,9,360,0:20,3:20,2:20
16,9,360,0:40,1:40,1:40
17,9,390,0:20,19:20,10:20
18,9,390,0:40,7:40,4:40
19,9,420,0:20,39:20,20:20
20,9,420,0:40,13:40,7:40
21,9,450,0:20,64:20,32:20
22,9,450,0:40,21:40,11:40
23,9,480,0:20,92:20,46:20
24,9,480,0:40,29:40,15:40
25,9,510,0:20,138:20,69:20
26,9,510,0:40,36:40,18:40
27,9,540,0:20,196:20,98:20
28,9,540,0:40,46:40,23:40
29,9,570,0:20,242:20,121:20
30,9,570,0:40,56:40,28:40
31,9,600,0:20,279:20,140:20
32,9,600,0:40,68:40,34:40
33,9,630,0:20,311:20,156:20
34,9,630,0:40,78:40,39:40
35,9,660,0:20,337:20,169:20
36,9,660,0:40,87:40,44:40
37,9,690,0:20,359:20,180:20
38,9,690,0:40,95:40,48:40
39,9,720,0:20,378:20,189:20
40,9,720,0:40,102:40,51:40
41,9,750,0:20,395:20,198:20
42,9,750,0:40,109:40,55:40
43,9,780,0:20,410:20,205:20
44,9,780,0:40,115:40,58:40
45,9,810,0:20,423:20,212:20
46,9,810,0:40,120:40,60:40
47,9,840,0:20,434:20,217:20
48,9,840,0:40,125:40,63:40
49,9,870,0:20,445:20,223:20
50,9,870,0:40,129:40,65:40
51,9,900,0:20,454:20,227:20
52,9,900,0:40,133:40,67:40
