profile_id,dive_depth_fsw,bottom_time_min,ascent_to_1st_stop_min,total_deco_air_min,total_deco_o2_min
1,30,371,1,1,0
2,30,380,0:20,6,2
3,30,420,0:20,23,6
4,30,480,0:20,43,10
5,30,540,0:20,72,15
6,30,600,0:20,93,20
7,30,660,0:20,121,23
8,30,720,0:20,159,28
9,35,232,1:10,1:10,1:10
10,35,240,0:30,5:10,3:10
11,35,270,0:30,29:10,8:10
12,35,300,0:30,54:10,14:10
13,35,330,0:30,72:10,19:10
14,35,360,0:30,89:10,23:10
15,35,420,0:30,135:10,30:10
16,35,480,0:30,174:10,44:10
17,35,540,0:30,229:10,51:10
18,35,600,0:30,278:10,59:10
19,35,660,0:30,315:10,69:10
20,35,720,0:30,343:10,82:10
21,40,163,1:20,1:20,1:20
22,40,170,0:40,7:20,3:20
23,40,180,0:40,15:20,6:20
24,40,190,0:40,22:20,8:20
25,40,200,0:40,28:20,10:20
26,40,210,0:40,40:20,12:20
27,40,220,0:40,53:20,13:20
28,40,230,0:40,65:20,17:20
29,40,240,0:40,76:20,20:20
30,40,270,0:40,102:20,27:20
31,40,300,0:40,129:20,34:20
32,40,330,0:40,161:20,44:20
33,40,360,0:40,185:20,50:20
34,40,420,0:40,249:20,62:20
35,40,480,0:40,322:20,79:20
36,40,540,0:40,373:20,91:20
37,40,600,0:40,411:20,104:20
38,40,660,0:40,440:20,119:20
39,40,720,0:40,462:20,128:20
40,45,125,1:30,1:30,1:30
41,45,130,0:50,3:30,2:30
42,45,140,0:50,15:30,6:30
43,45,150,0:50,26:30,9:30
44,45,160,0:50,35:30,12:30
45,45,170,0:50,42:30,15:30
46,45,180,0:50,60:30,18:30
47,45,190,0:50,76:30,20:30
48,45,200,0:50,90:30,24:30
49,45,210,0:50,102:30,28:30
50,45,220,0:50,113:30,31:30
51,45,230,0:50,122:30,34:30
52,45,240,0:50,131:30,43:30
53,45,270,0:50,174:30,51:30
54,45,300,0:50,207:30,57:30
55,45,330,0:50,244:30,67:30
56,45,360,0:50,289:30,80:30
57,45,420,0:50,374:30,95:30
58,45,480,0:50,432:30,117:30
59,45,540,0:50,474:30,133:30
60,50,92,1:40,1:40,1:40
61,50,95,1,3:40,2:40
62,50,100,1,5:40,3:40
63,50,110,1,9:40,5:40
64,50,120,1,22:40,8:40
65,50,130,1,35:40,13:40
66,50,140,1,46:40,17:40
67,50,150,1,57:40,20:40
68,50,160,1,79:40,24:40
69,50,170,1,97:40,27:40
70,50,180,1,112:40,31:40
71,50,190,1,126:40,36:40
72,50,200,1,137:40,45:40
73,50,210,1,148:40,49:40
74,50,220,1,167:40,53:40
75,50,230,1,184:40,56:40
76,50,240,1,199:40,59:40
77,50,270,1,237:40,68:40
78,50,300,1,286:40,85:40
